#period	period time	calc time
1	2491	1002
2	2498	1000
3	2497	1000
4	2508	738
5	1990	751
6	2247	754
7	1999	751
8	2249	500
9	1997	748
10	1997	743
11	2240	506
12	2500	1000
13	2497	1020
14	2510	998
15	2500	996
16	2494	1000
17	2747	759
18	2499	750
19	2498	1258
20	2749	1000
21	2496	1001
22	2497	1251
23	3005	746
24	2493	749
25	2501	998
26	2744	750
27	2498	751
28	2497	752
29	2755	995
30	2493	1001
31	2502	997
32	2494	1000
33	2498	1249
34	2747	999
35	2755	744
36	2241	1249
37	3003	747
38	2490	753
39	2500	998
40	2746	762
41	2508	739
42	2493	997
43	2749	998
44	2490	1007
45	2500	1005
46	2999	760
47	2500	751
48	2501	749
49	2502	745
50	2494	1249
51	2747	998
52	2494	760
53	2499	1000
54	2748	756
55	2498	752
56	2498	1250
57	2749	1001
58	2498	1009
59	2499	1250
60	3003	746
61	2492	751
62	2499	1011
63	2495	1005
64	2751	772
65	2498	758
66	2251	1007
67	2497	1250
68	2745	1000
69	2500	999
70	2488	1271
71	2758	1017
72	2748	767
73	2247	1254
74	3003	746
75	2493	751
76	2506	1011
77	2740	761
78	2501	749
79	2495	751
80	2499	750
81	2497	1000
82	2499	1002
83	2499	1000
84	2500	1263
85	2997	750
86	2499	750
87	2499	1247
88	2749	998
89	2496	1000
90	2497	1251
91	2748	1008
92	2499	1001
93	2498	1001
94	2998	750
95	2497	752
96	2500	749
97	2496	751
98	2500	996
99	2492	1017
100	2503	1001
101	2497	1253
102	3003	746
103	2499	998
104	2495	1001
105	2747	758
106	2488	755
107	2501	998
108	2752	997
109	2504	1004
110	2494	1004
111	3001	750
112	2498	1008
113	2504	998
114	2496	746
115	2242	1257
116	2999	753
117	2498	1000
118	2497	1019
119	2753	745
120	2497	997
121	2497	1247
122	2997	748
123	2503	744
124	2487	1254
125	2752	1001
126	2498	1001
127	2498	1252
128	2748	1007
129	2491	1007
130	2515	985
131	2746	997
132	2487	1015
133	2504	1000
134	2505	993
135	2489	1251
136	3004	749
137	2499	1003
138	2494	1250
139	2746	1001
140	2505	995
141	2494	1254
142	2747	749
143	2497	751
144	2498	1001
145	2747	757
146	2500	747
147	2497	750
148	2499	747
149	2497	1263
150	2746	1005
151	2506	995
152	2493	1248
153	3001	748
154	2497	749
155	2499	996
156	2492	1001
157	2507	995
158	2493	1248
159	3002	745
160	2492	751
161	2497	1001
162	2748	1000
163	2506	997
164	2492	1005
165	2498	1000
166	2497	1251
167	2747	1000
168	2499	1008
169	2499	1251
170	2748	1004
171	2497	1001
172	2497	1252
173	2999	749
174	2505	744
175	2240	1251
176	3004	746
177	2496	1000
178	2496	1000
179	2743	752
180	2502	1255
181	2748	750
182	2502	997
183	2741	752
184	2499	1004
185	2498	1005
186	2509	1242
187	2740	1005
188	2498	1000
189	2497	1249
190	2998	753
191	2502	1002
192	2495	1000
193	2751	747
194	2494	751
