#period	period time	calc time
1	3250	1247
2	3751	1998
3	3241	1494
4	3246	1500
5	2991	2009
6	3255	2010
7	3247	1754
8	3259	1493
9	3739	1499
10	3245	1502
11	3257	1742
12	3487	2753
13	3247	1750
14	3252	1748
15	3245	1759
16	3998	1500
17	3252	1496
18	2993	1749
19	3248	2747
20	3004	1493
21	3493	1754
22	3244	1504
23	3498	1748
24	3245	2006
25	3251	1754
26	3491	2507
27	3004	1749
28	3251	1747
29	3244	2010
30	3249	2506
31	3248	1750
32	3249	1501
33	3496	2000
34	3748	1751
35	2998	2006
36	3251	1747
37	3493	2502
38	2999	1759
39	3498	1751
40	3004	1745
41	3241	2751
42	3248	1749
43	3255	1495
44	3242	1754
45	3246	1752
46	3249	2000
47	3246	1761
48	3500	2505
49	2997	1750
50	3250	1744
51	3243	2002
52	3256	2493
53	3243	1507
54	3246	1501
55	3497	2000
56	3745	1762
57	3003	1992
58	3249	1748
59	3492	2503
60	2999	1750
61	3504	1746
62	2991	1761
63	3248	2502
64	3247	1500
65	3496	1761
66	3250	2008
67	3746	1503
68	3001	1998
69	3245	2002
70	3252	2747
71	2994	1756
72	3748	1751
73	2997	1753
74	3502	2004
75	3246	1755
76	3246	1501
77	3496	2257
78	3252	1759
79	2993	2002
80	3255	1744
81	4239	2005
82	3002	1748
83	3501	1748
84	3244	2499
85	2995	1755
86	3250	2250
87	3247	1753
88	3997	1761
89	3249	1751
90	3247	1752
91	3250	2748
92	2996	1750
93	3248	1500
94	3247	1501
95	4498	1750
96	3247	1750
97	3247	1750
98	3252	2747
99	2995	1999
100	3246	1500
101	3497	1747
102	4240	1749
103	3246	1499
104	3505	1502
105	3001	2754
106	2997	1501
107	3498	1751
108	3248	1750
109	4245	1765
110	2999	1501
111	3250	1749
112	3493	2755
113	3251	1750
114	3249	1498
115	3247	1494
116	3494	1501
117	2999	1750
118	3257	1741
119	3494	2494
120	2992	1751
121	3248	1501
122	3239	1759
123	4255	1755
124	3000	1749
125	3247	1499
126	3498	2501
127	3251	1747
128	3248	1497
129	3244	2249
130	3745	1754
131	3249	2003
132	3248	1749
133	3249	2496
134	3496	1500
135	2996	1751
136	3247	1756
137	3999	2001
138	3249	1752
139	3247	1762
140	3749	2249
141	2746	1751
142	3247	2001
143	3253	1747
144	4243	2000
145	3003	1504
146	3503	1744
147	2988	2500
148	3247	2010
149	3248	1500
150	3254	1753
